UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Air temperature [K]_roll_mean,Air temperature [K]_roll_std,Air temperature [K]_roll_var,Process temperature [K]_roll_mean,Process temperature [K]_roll_std,Process temperature [K]_roll_var,Rotational speed [rpm]_roll_mean,Rotational speed [rpm]_roll_std,Rotational speed [rpm]_roll_var,Torque [Nm]_roll_mean,Torque [Nm]_roll_std,Torque [Nm]_roll_var,Tool wear [min]_roll_mean,Tool wear [min]_roll_std,Tool wear [min]_roll_var,timestamp,ambient_temperature,humidity,factory_load
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,298.1,0.0,0.0,308.6,0.0,0.0,1551.0,0.0,0.0,42.8,0.0,0.0,0.0,0.0,0.0,2024-01-01 00:00:00,31.52,62.64,79.28
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,298.15,0.0707106781186507,0.0049999999999994,308.65,0.0707106781186507,0.0049999999999994,1479.5,101.1162697096763,10224.5,44.55,2.4748737341529163,6.125,1.5,2.1213203435596424,4.5,2024-01-01 00:15:00,24.8,73.49,86.88
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,298.1333333333334,0.0577350269189469,0.0033333333333315,308.6,0.0999999999999801,0.009999999999996,1485.6666666666667,72.29338374521788,5226.333333333333,46.16666666666666,3.302019584032375,10.903333333333338,2.6666666666666665,2.516611478423583,6.333333333333333,2024-01-01 00:30:00,33.75,37.92,84.24
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,298.15,0.0577350269189538,0.0033333333333323,308.6,0.0816496580927563,0.006666666666664,1472.5,64.63487190879755,4177.666666666667,44.5,4.287190222045203,18.38,3.75,2.9860788111948198,8.916666666666666,2024-01-01 00:45:00,34.7,55.72,97.65
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,298.16,0.054772255750513,0.0029999999999996,308.62,0.0836660026534045,0.0069999999999994,1459.6,62.970628073729735,3965.2999999999993,43.6,4.223150482755735,17.835,4.8,3.492849839314596,12.2,2024-01-01 01:00:00,20.24,72.44,87.88
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,298.16,0.054772255750513,0.0029999999999996,308.62,0.0836660026534045,0.0069999999999994,1434.4,37.17929531338641,1382.299999999997,43.42,4.284506972803289,18.357000000000003,7.0,3.1622776601683795,10.0,2024-01-01 01:15:00,23.49,60.98,86.78
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,298.14,0.0547722557505013,0.0029999999999983,308.6,0.0707106781186326,0.0049999999999968,1464.4,62.46839200747842,3902.299999999994,42.64,3.972782400283208,15.783000000000012,9.2,3.492849839314596,12.2,2024-01-01 01:30:00,30.64,82.01,73.08
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,298.14,0.0547722557505013,0.0029999999999983,308.62,0.0447213595500075,0.002000000000001,1470.2,67.51073988633212,4557.699999999993,40.8,1.2708265027138923,1.6150000000000229,11.4,3.646916505762094,13.3,2024-01-01 01:45:00,28.42,36.36,67.06
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,298.16,0.0894427190999818,0.0079999999999982,308.64,0.054772255750564,0.0030000000000052,1517.0,105.62433431742892,11156.499999999993,38.62,5.697543330243311,32.462000000000046,13.6,3.646916505762094,13.3,2024-01-01 02:00:00,29.92,34.65,95.9
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,298.22,0.1788854381999675,0.0319999999999943,308.7,0.1732050807569382,0.0300000000000174,1583.6,123.23067799862174,15185.799999999996,36.22,7.278873539222953,52.98200000000008,16.0,3.8078865529319534,14.5,2024-01-01 02:15:00,25.73,71.55,76.12
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,298.28000000000003,0.1788854381999675,0.0319999999999943,308.76,0.181659021245925,0.0330000000000274,1655.0,111.2002697838454,12365.500000000002,32.62,8.16468003047273,66.66200000000018,18.6,3.974921382870358,15.799999999999995,2024-01-01 02:30:00,34.4,72.99,76.21
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,298.38,0.1923538406167448,0.037000000000012,308.86,0.2073644135334064,0.0430000000000535,1628.0,150.1932089010685,22558.0,33.0,8.756426211645945,76.67500000000015,21.6,5.128352561983233,26.29999999999999,2024-01-01 02:45:00,33.89,57.1,94.63
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,298.48,0.1303840481041712,0.0170000000000308,308.96,0.1673320053070799,0.0280000000000886,1590.4,197.78978740066435,39120.8,35.17999999999999,11.818502443203204,139.67700000000008,25.2,6.379655163094632,40.69999999999999,2024-01-01 03:00:00,30.33,66.01,94.13
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,298.54,0.0894427191001983,0.0080000000000369,309.06,0.1140175425104202,0.0130000000001154,1605.4,207.64946424202492,43118.3,35.46,11.638857332229833,135.46300000000008,29.0,6.670832032063166,44.49999999999999,2024-01-01 03:15:00,35.64,71.18,82.98
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,298.56000000000006,0.0894427191002126,0.0080000000000395,309.1,0.1224744871396683,0.0150000000001247,1664.2,283.4408227478886,80338.70000000001,33.78,13.450167285205048,180.90700000000007,32.8,6.379655163094632,40.69999999999999,2024-01-01 03:30:00,32.34,47.79,83.1
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,298.6,0.0,0.0,309.16,0.0547722557517667,0.0030000000001369,1616.2,278.78791222002434,77722.70000000001,38.67999999999999,13.413687039736686,179.92699999999994,36.4,5.128352561983234,26.3,2024-01-01 03:45:00,25.7,49.4,78.36
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,298.6,0.0,0.0,309.17999999999995,0.0447213595515829,0.0020000000001419,1593.8,301.7460853101495,91050.7,39.14,13.691165034430048,187.44799999999992,39.4,3.9749213828703582,15.800000000000002,2024-01-01 04:00:00,31.84,62.85,87.71
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,298.62,0.0447213595505154,0.0020000000000464,309.2,0.0,0.0,1608.0,288.12063445716626,83013.50000000001,38.040000000000006,12.67312116252346,160.60799999999998,42.0,3.8078865529319543,14.500000000000004,2024-01-01 04:15:00,25.21,73.56,75.35
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,298.66,0.0894427191002801,0.0080000000000516,309.2,0.0,0.0,1520.8,303.0193063156208,91820.7,42.94,13.496962621271493,182.1679999999998,44.6,3.9749213828703582,15.800000000000002,2024-01-01 04:30:00,34.39,42.51,71.58
