feature,mean_abs_shap
Air_temperature__K_,0.25
Process_temperature__K_,0.125
Rotational_speed__rpm_,0.085
Tool_wear__min__roll_std,0.08167419973485723
TWF,0.08157113095383656
factory_load,0.08119164716199971
Rotational_speed__rpm__roll_std,0.08079347763067042
Air_temperature__K__roll_mean,0.08071527058260383
Torque__Nm__roll_mean,0.08051456042508615
RNF,0.08048941337189229
Tool_wear__min__roll_mean,0.08042119477845248
Air_temperature__K__roll_std,0.08028699690109822
PWF,0.07994657649068192
Rotational_speed__rpm__roll_mean,0.07993639406138563
Process_temperature__K__roll_mean,0.07991371192403963
Process_temperature__K__roll_var,0.0798225148936865
Tool_wear__min__roll_var,0.07976788611437857
ambient_temperature,0.07976544258718117
Process_temperature__K__roll_std,0.07942161064683596
Torque__Nm__roll_std,0.07938161090363435
Rotational_speed__rpm__roll_var,0.0793224911317912
Torque__Nm__roll_var,0.07931523779631096
HDF,0.0788585972707029
Air_temperature__K__roll_var,0.07868419228327098
humidity,0.0777820008089647
OSF,0.0777249654149045
Tool_wear__min_,0.07762108308265582
Torque__Nm_,0.045000000000000005
